source_feature,mean_absolute_shap,mean_signed_shap
PAY_0,0.05306869704224354,0.001349704251439126
PAY_2,0.028072837390929088,-0.0015545899757661774
LIMIT_BAL,0.018340975412649424,-0.0005764844012102613
PAY_3,0.01776434865357664,0.0009162548102511698
PAY_4,0.015479163588634008,0.00036477173480231747
PAY_AMT1,0.013474873213039163,-0.0017901104741376564
PAY_5,0.011426607633531276,-0.0011991660811500916
PAY_6,0.01066431728034906,-0.0002786236872008263
PAY_AMT2,0.009024366201306096,-0.0003950490616610475
PAY_AMT3,0.008999826583718501,0.000133676453758696
PAY_AMT4,0.006750597773635857,-0.00016499666526760843
PAY_AMT6,0.006665487548225881,-1.1468669640856342e-06
PAY_AMT5,0.0062317908786035225,4.911085862333787e-05
BILL_AMT1,0.0055033807882963115,0.0012153543508108958
BILL_AMT2,0.004219191670017946,0.002169116754350394
BILL_AMT3,0.003877731235126964,0.0010646080652814219
BILL_AMT4,0.003622918162303941,0.001419231041162392
BILL_AMT6,0.0029954348327567893,0.0005315937402066576
BILL_AMT5,0.0027351304162387294,-4.222548518103143e-05
