case_label,source_feature,raw_value,shap_value,absolute_shap_value
false_negative,PAY_AMT1,33670.0,-0.02198742876789127,0.02198742876789127
false_negative,PAY_2,-2.0,-0.021200732307658066,0.021200732307658066
false_negative,PAY_AMT2,35212.0,-0.020378242566938612,0.020378242566938612
false_negative,LIMIT_BAL,340000.0,-0.020282322740772137,0.020282322740772137
false_negative,PAY_0,-2.0,-0.01636086929854309,0.01636086929854309
false_negative,PAY_3,-2.0,-0.01456093992468638,0.01456093992468638
false_negative,PAY_AMT3,30000.0,-0.014184858362954923,0.014184858362954923
false_negative,PAY_AMT6,30200.0,-0.01364366091293156,0.01364366091293156
false_negative,PAY_AMT5,33905.0,-0.012335947639465128,0.012335947639465128
false_negative,PAY_AMT4,10766.0,-0.010699672334473389,0.010699672334473389
false_negative,PAY_4,-2.0,-0.00897758983029416,0.00897758983029416
false_negative,PAY_5,-2.0,-0.008185257037520073,0.008185257037520073
false_negative,PAY_6,-2.0,-0.005911344023879625,0.005911344023879625
false_negative,BILL_AMT1,30832.0,-0.004905257586302262,0.004905257586302262
false_negative,BILL_AMT5,10766.0,-0.0027728879217689827,0.0027728879217689827
false_negative,BILL_AMT4,30000.0,-0.0015137749501189478,0.0015137749501189478
false_negative,BILL_AMT3,35192.0,-0.0009191339464148845,0.0009191339464148845
false_negative,BILL_AMT6,33887.0,0.0008647807093809658,0.0008647807093809658
false_negative,BILL_AMT2,33652.0,-0.0005977210922556082,0.0005977210922556082
false_positive,PAY_0,2.0,0.20245248112014005,0.20245248112014005
false_positive,PAY_2,2.0,0.08923255718719787,0.08923255718719787
false_positive,PAY_4,2.0,0.06814368452614342,0.06814368452614342
false_positive,PAY_5,2.0,0.06746900671918943,0.06746900671918943
false_positive,PAY_3,2.0,0.05683577450744538,0.05683577450744538
false_positive,PAY_6,2.0,0.052276515366572726,0.052276515366572726
false_positive,LIMIT_BAL,70000.0,0.015842357389599784,0.015842357389599784
false_positive,BILL_AMT4,46611.0,0.011109600819635145,0.011109600819635145
false_positive,BILL_AMT2,44911.0,0.010658367266392558,0.010658367266392558
false_positive,BILL_AMT6,48476.0,0.010307940965819063,0.010307940965819063
false_positive,BILL_AMT5,47508.0,0.010087912790539616,0.010087912790539616
false_positive,BILL_AMT3,45772.0,0.007209149061573734,0.007209149061573734
false_positive,PAY_AMT6,1900.0,0.005509506283674462,0.005509506283674462
false_positive,PAY_AMT2,1900.0,0.004935789574299462,0.004935789574299462
false_positive,PAY_AMT4,1800.0,0.004903941584072017,0.004903941584072017
false_positive,PAY_AMT5,1900.0,0.0047311251545453055,0.0047311251545453055
false_positive,BILL_AMT1,43913.0,0.0039373697224583245,0.0039373697224583245
false_positive,PAY_AMT1,2000.0,0.0021627883338836045,0.0021627883338836045
false_positive,PAY_AMT3,1900.0,-0.001229651163213337,0.001229651163213337
true_positive,PAY_2,2.0,0.1344166593597633,0.1344166593597633
true_positive,PAY_0,3.0,0.1289688355543933,0.1289688355543933
true_positive,PAY_3,2.0,0.08152538086325103,0.08152538086325103
true_positive,PAY_AMT1,0.0,0.04685926273280623,0.04685926273280623
true_positive,LIMIT_BAL,20000.0,0.035858158244002396,0.035858158244002396
true_positive,PAY_AMT3,0.0,0.030034796678652942,0.030034796678652942
true_positive,PAY_4,7.0,0.02856729247833098,0.02856729247833098
true_positive,PAY_5,7.0,0.026279908729042394,0.026279908729042394
true_positive,PAY_6,7.0,0.02488974676323761,0.02488974676323761
true_positive,PAY_AMT2,0.0,0.023810341580516904,0.023810341580516904
true_positive,PAY_AMT4,0.0,0.019128776359898184,0.019128776359898184
true_positive,PAY_AMT6,0.0,0.018100251223066834,0.018100251223066834
true_positive,PAY_AMT5,0.0,0.014496968047100267,0.014496968047100267
true_positive,BILL_AMT2,2400.0,0.012990586384151551,0.012990586384151551
true_positive,BILL_AMT1,2400.0,0.009159771714164091,0.009159771714164091
true_positive,BILL_AMT3,2400.0,0.006511563227196487,0.006511563227196487
true_positive,BILL_AMT4,2400.0,0.006341844447615522,0.006341844447615522
true_positive,BILL_AMT5,2400.0,0.005768201747902948,0.005768201747902948
true_positive,BILL_AMT6,2400.0,0.004386068280474151,0.004386068280474151
