source_feature,aggregated_impurity_importance,permutation_ap_mean,permutation_ap_std
PAY_0,0.223262424637,0.163763909399,0.00789585164479
PAY_2,0.107516571326,0.0193288484489,0.00452113464889
PAY_AMT1,0.0464855647072,0.010485099893,0.00130783340384
PAY_3,0.0674345898397,0.00935707709174,0.00184523282355
LIMIT_BAL,0.0463733100576,0.00914216921781,0.00248608636672
PAY_4,0.0608865740986,0.00636845536968,0.00159135214792
PAY_AMT2,0.0351146485775,0.00631436784687,0.00221931150753
PAY_AMT3,0.0347707669586,0.00598190295297,0.000765174146027
PAY_6,0.0383591741636,0.00418067399695,0.0010164627557
BILL_AMT1,0.0406993134334,0.00405062296062,0.001892435216
PAY_AMT6,0.0302060400657,0.00372251922336,0.00148536903555
PAY_AMT4,0.0286640688605,0.00291317191761,0.00225086564336
PAY_5,0.0459019886152,0.00288204731875,0.000849165987827
PAY_AMT5,0.0281158633382,0.00162500890541,0.00153497048078
BILL_AMT6,0.0309998626513,0.00145988025003,0.00110864386838
BILL_AMT3,0.0341240550239,0.00108146939177,0.00155098910449
BILL_AMT2,0.0373071711896,0.000624792593226,0.00103766340197
BILL_AMT4,0.0335286517228,0.000602903437486,0.000919719019842
BILL_AMT5,0.0302493607336,0.000541902012961,0.000819876582309
