outcome_group,rows,proportion_of_validation,mean_probability,median_probability
true_positive,929,0.15483333333333332,0.481830229129692,0.4911466419288855
false_positive,1332,0.222,0.3504483867851564,0.3047588598983971
false_negative,398,0.06633333333333333,0.12755635740944207,0.1303633880150163
true_negative,3341,0.5568333333333333,0.11120258410292766,0.11169733414033377
